9.3257 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
9.3288 	INFO 	Loaded monitor calibration from ['2025_04_03 15:02']
9.8718 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FE22CFE410>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FE22CFE3B0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FE22D87250>, multiSample=False, name='window1', numSamples=2, pos=[283.0, 84.0], screen=0, size=array([800, 600]), stencilBits=8, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.8718 	EXP 	window1: backgroundImage = ''
9.8719 	EXP 	window1: backgroundFit = 'none'
9.8860 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8868 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8881 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8897 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8911 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8926 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8949 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8959 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8966 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8975 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.8989 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.9004 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.9011 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.9022 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.9033 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
9.9047 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
